fecha_entrada,fecha_cierre,par,lado_spread,simbolo_y,lado_y,precio_entrada_y,precio_cierre_y,simbolo_x,lado_x,precio_entrada_x,precio_cierre_x,gamma,z_entrada,z_cierre,pnl_neto_usdt,motivo_cierre
2026-08-16 19:17:36,2026-08-16 19:17:59,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63024.0000,63035.6000,ETHUSDT,SELL,1889.1400,1889.4900,23.4223,-3.73,-3.67,-1.02,Spread Divergence Stop Loss (Z=-3.67)
2026-08-16 19:18:22,2026-08-16 19:18:44,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63028.0000,63033.1000,ETHUSDT,SELL,1890.2700,1890.4300,23.0703,-3.98,-3.96,-0.68,Spread Divergence Stop Loss (Z=-3.96)
2026-08-16 19:19:08,2026-08-16 19:19:31,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63040.1000,63047.5000,ETHUSDT,SELL,1892.1000,1891.4600,22.4918,-4.26,-4.03,0.76,Spread Divergence Stop Loss (Z=-4.03)
2026-08-16 19:19:53,2026-08-16 19:20:16,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63034.4000,63039.3000,ETHUSDT,SELL,1891.2500,1891.2300,22.7663,-4.14,-4.08,-0.35,Spread Divergence Stop Loss (Z=-4.08)
2026-08-16 19:20:38,2026-08-16 19:21:01,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63047.5000,63046.2000,ETHUSDT,SELL,1890.6600,1890.6700,23.0823,-3.84,-3.86,-0.42,Spread Divergence Stop Loss (Z=-3.86)
2026-08-16 19:21:24,2026-08-16 19:21:48,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63055.5000,63055.5000,ETHUSDT,SELL,1892.8400,1892.8700,22.3404,-4.24,-4.24,-0.45,Spread Divergence Stop Loss (Z=-4.24)
2026-08-16 19:22:11,2026-08-16 19:22:35,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63060.5000,63065.2000,ETHUSDT,SELL,1892.9100,1892.8800,22.3587,-4.20,-4.14,-0.34,Spread Divergence Stop Loss (Z=-4.14)
2026-08-16 19:22:57,2026-08-16 19:23:21,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63066.5000,63068.5000,ETHUSDT,SELL,1892.9500,1893.1200,22.3983,-4.14,-4.15,-0.70,Spread Divergence Stop Loss (Z=-4.15)
2026-08-16 19:23:44,2026-08-16 19:24:08,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63075.3000,63082.9000,ETHUSDT,SELL,1893.5100,1893.7200,22.2615,-4.16,-4.12,-0.75,Spread Divergence Stop Loss (Z=-4.12)
2026-08-16 19:24:31,2026-08-16 19:24:54,BTCUSDT/ETHUSDT,LONG_SPREAD,BTCUSDT,BUY,63087.3000,63096.4000,ETHUSDT,SELL,1894.5500,1894.3900,21.9632,-4.22,-4.10,-0.10,Spread Divergence Stop Loss (Z=-4.10)
